Fe,C,Cr,Ni,Mn,Si,N,Mo,Co,P,S,Cu,W,Al,Ti,Ce,Nb,vol% sigma phase formed,Temperature(c),Onset Time(hrs),e_tot,e_tot_eV,CNT_feature
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,10.0,800.0,6.0,-704.9712425772943,-4.400430496167471e+21,2.026473132646322e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,15.0,950.0,2.0,-705.6568291031208,-4.40470992726168e+21,2.0284438834951263e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,15.0,900.0,3.0,-714.3980021416346,-4.4592723293680834e+21,2.0535707982407563e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,15.0,850.0,5.0,-707.6463929388365,-4.417128784724217e+21,2.0341629787081774e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,15.0,800.0,8.0,-697.5460213121619,-4.3540822650305144e+21,2.005128983425802e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,20.0,950.0,3.0,-707.2176944914074,-4.414452849015365e+21,2.0329306647735745e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,20.0,900.0,5.0,-731.6575873005801,-4.567006659930221e+21,2.1031842909519704e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,20.0,850.0,7.5,-722.1571805652927,-4.507705121088557e+21,2.075874923086286e+22
59.73,0,26.03,6.67,0.94,0,0.4,4.93,1.3,0,0,0,0,0,0,0,0,20.0,800.0,15.0,-704.9581902406294,-4.400349023482009e+21,2.0264356130881156e+22
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.1,900.0,0.0,-394.6209961708497,-2.463224258098444e+21,2.5952657801411864e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.15,875.0,0.0,-526.0923483500527,-3.283868438401029e+21,5.3369078322046514e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.2,850.0,0.0,-444.89246354925325,-2.7770187574744386e+21,6.196738276090203e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.3,825.0,0.0,-404.93768745416037,-2.527621045088869e+21,9.015390945554327e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.5,800.0,0.0,-530.5310675952494,-3.311574923929547e+21,2.2954088217347807e+21
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.7,775.0,0.0,-470.9634717392124,-2.939753990596164e+21,3.5393838560864245e+21
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.85,750.0,0.0,-410.83263976484375,-2.564417337412155e+21,4.865007380392439e+21
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.95,725.0,0.0,-392.75163666636763,-2.451555716071467e+21,7.344204579051056e+21
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.02,900.0,0.0,-455.2890939227468,-2.841914524265786e+21,5.741436735514925e+19
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.04,875.0,0.0,-438.5569103356865,-2.737472234315355e+21,1.1174907654857209e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.06,850.0,0.0,-498.06116109022213,-3.1088977675251666e+21,1.923643044838807e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.1,825.0,0.0,-418.447690468756,-2.611950483905975e+21,2.751964498570424e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.05,1400.0,0.0,-408.54386407370845,-2.550130799548088e+21,1.308046098279798e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.1,1375.0,0.0,-429.1154545458156,-2.678538667274981e+21,2.8221221519351877e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.2,1350.0,0.0,-376.43310620053484,-2.3496954489037385e+21,5.243193869752164e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.4,1325.0,0.0,-434.96156079839375,-2.715030062503574e+21,1.3869069252218048e+21
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.01,1450.0,0.0,-408.07238082197483,-2.5471878010907667e+21,2.560009288290405e+19
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.1,1475.0,0.0,-451.42568725982755,-2.8177991398758437e+21,2.9688477039749825e+20
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,1.0,1500.0,0.0,-505.5319474271417,-3.1555304158402183e+21,1.4531754592005976e+22
51.71,0.03,23.0,10,1,1,0.2,3,0,0.03,0.03,0,0,0,0,0,0,0.99,1400.0,0.0,-409.2423128686857,-2.5544905169263363e+21,1.176386356893847e+22
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,900.0,0.01,-437.3176393149935,-2.7297367046041895e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,875.0,0.02,-458.3918177776655,-2.861281726568188e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,850.0,0.05,-478.4393969262167,-2.9864187156134447e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,825.0,0.1,-517.5824367939088,-3.230749570467578e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,800.0,0.3,-468.71517102389805,-2.9257200975311714e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,775.0,0.5,-440.4639780503076,-2.74937615099002e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,750.0,0.7,-434.6491876324909,-2.7130802292020085e+21,-0.0
60.0,0.03,25.0,7,1,1,0.2,4,0,0,0,2,0.5,0,0,0,0,0.0,725.0,0.85,-424.46816756915115,-2.6495303019666415e+21,-0.0
